CD_MUN	NM_MUN	SIGLA_UF	AREA_KM2	LONG_CENTROID	LAT_CENTROID
1303205	NOVO AIRAO	AM	37776.77	-61.70342029	-2.048245988
1303304	NOVO ARIPUANA	AM	41179.656	-60.4771548	-6.824012902
1303403	PARINTINS	AM	5956.047	-56.85464487	-2.688097966
1303502	PAUINI	AM	41624.664	-68.19714095	-7.75780544
1303536	PRESIDENTE FIGUEIREDO	AM	25459.099	-59.98955277	-1.370919582
1303569	RIO PRETO DA EVA	AM	5815.622	-59.63838042	-2.529822925
1303601	SANTA ISABEL DO RIO NEGRO	AM	62800.078	-65.52132858	-0.318364
1303700	SANTO ANTONIO DO ICA	AM	12366.214	-69.08935258	-3.052907719
1303809	SAO GABRIEL DA CACHOEIRA	AM	109192.562	-67.99706249	0.374477071
1303908	SAO PAULO DE OLIVENCA	AM	19658.502	-69.45111859	-4.501436485
1303957	SAO SEBASTIAO DO UATUMA	AM	10647.463	-58.70526098	-1.94176235
1304005	SILVES	AM	3723.382	-58.53708735	-2.820549321
1304062	TABATINGA	AM	3260.103	-69.67762503	-4.028249697
1304104	TAPAUA	AM	84946.035	-64.95579642	-6.093701967
1304203	TEFE	AM	23692.223	-65.53153604	-4.470110667
1304237	TONANTINS	AM	6446.894	-67.82604943	-2.691809172
1304260	UARINI	AM	10274.677	-65.41078966	-3.165655864
1304302	URUCARA	AM	27901.962	-59.02958765	-0.894390408
1304401	URUCURITUBA	AM	2886.494	-57.77131014	-2.813757324
1400027	AMAJARI	RR	28473.45	-62.43702176	3.732902037
1400050	ALTO ALEGRE	RR	25454.297	-62.74236801	3.072100356
1400100	BOA VISTA	RR	5687.037	-60.71795309	3.117915001
1400159	BONFIM	RR	8079.914	-60.10061132	2.78766233
1400175	CANTA	RR	7664.831	-60.54228497	2.272836718
1400209	CARACARAI	RR	47379.903	-61.47156263	0.990734209
1400233	CAROEBE	RR	12065.896	-59.33814403	0.914690287
1400282	IRACEMA	RR	14011.695	-62.40165933	2.181807877
1400308	MUCAJAI	RR	12337.851	-61.99678865	2.510970975
1400407	NORMANDIA	RR	6959.868	-60.0654338	3.878878783
1400456	PACARAIMA	RR	8025.045	-60.83938098	4.168524264
1400472	RORAINOPOLIS	RR	33579.739	-61.01117501	0.038040997
1400506	SAO JOAO DA BALIZA	RR	4284.505	-59.84501997	0.635780084
1400605	SAO LUIZ	RR	1526.898	-60.151836	0.884434676
1400704	UIRAMUTA	RR	8113.598	-60.27933517	4.68542495
1500107	ABAETETUBA	PA	1610.654	-48.88306888	-1.730257272
1500131	ABEL FIGUEIREDO	PA	614.131	-48.42460077	-4.957318689
1500206	ACARA	PA	4344.384	-48.41145042	-2.035385965
1500305	AFUA	PA	8338.438	-50.72590507	-0.26284105
1500347	AGUA AZUL DO NORTE	PA	7113.955	-50.43015506	-6.772978677
1500404	ALENQUER	PA	23645.452	-55.0391555	-0.604682709
1500503	ALMEIRIM	PA	72954.798	-53.89358505	0.284478936
1500602	ALTAMIRA	PA	159533.306	-53.88668321	-6.486171806
1500701	ANAJAS	PA	6913.64	-49.96139117	-0.827132549
1500800	ANANINDEUA	PA	190.581	-48.38354433	-1.334076858
1500859	ANAPU	PA	11895.27	-51.30127774	-3.997185122
1500909	AUGUSTO CORREA	PA	1099.619	-46.50821625	-1.106888109
1500958	AURORA DO PARA	PA	1811.84	-47.72635255	-2.231178571
1501006	AVEIRO	PA	17074.053	-56.01629836	-3.667215101
1501105	BAGRE	PA	4397.321	-50.18176698	-2.373143109
1501204	BAIAO	PA	3759.834	-49.69897986	-3.129827241
1501253	BANNACH	PA	2956.649	-50.63441634	-7.486384401
1501303	BARCARENA	PA	1310.338	-48.63423095	-1.498617993
1501402	BELEM	PA	1059.466	-48.45991077	-1.240718656
1501451	BELTERRA	PA	4398.418	-54.99284971	-3.191127451
1501501	BENEVIDES	PA	187.826	-48.27562032	-1.339617611
1501576	BOM JESUS DO TOCANTINS	PA	2816.604	-48.76351445	-5.054266699
1501600	BONITO	PA	586.976	-47.3022805	-1.38733737
1501709	BRAGANCA	PA	2124.734	-46.76359393	-1.193215244
1501725	BRASIL NOVO	PA	6362.575	-52.68540476	-3.292106289
1501758	BREJO GRANDE DO ARAGUAIA	PA	1288.477	-48.43188898	-5.735506807
1501782	BREU BRANCO	PA	3941.904	-49.3712201	-3.733484054
1501808	BREVES	PA	9566.572	-50.62814637	-1.120905041
1501907	BUJARU	PA	994.691	-48.08987704	-1.632969008
1501956	CACHOEIRA DO PIRIA	PA	2419.6	-46.44321356	-1.988673657
1502004	CACHOEIRA DO ARARI	PA	3100.261	-48.87724142	-0.869423617
1502103	CAMETA	PA	3081.367	-49.51357185	-2.253061762
1502152	CANAA DOS CARAJAS	PA	3146.821	-50.085674	-6.424205512
1502202	CAPANEMA	PA	621.483	-47.11790092	-1.142083829
1502301	CAPITAO POCO	PA	2901.026	-47.23339596	-2.042165067
1502400	CASTANHAL	PA	1029.3	-47.87698077	-1.268514868
1502509	CHAVES	PA	12534.995	-49.84343908	-0.033159924
1502608	COLARES	PA	384.068	-48.2737191	-0.93584592
1502707	CONCEICAO DO ARAGUAIA	PA	5829.482	-49.51270839	-8.182491118
1502756	CONCORDIA DO PARA	PA	700.59	-47.97465721	-1.881720383
1502764	CUMARU DO NORTE	PA	17085.001	-51.2210371	-8.458172013
1502772	CURIONOPOLIS	PA	2369.096	-49.62461067	-6.228930192
1502806	CURRALINHO	PA	3617.252	-49.9880339	-1.583462266
1502855	CURUA	PA	1431.134	-55.11349124	-1.845742852
1502905	CURUCA	PA	676.322	-47.86343073	-0.743581552
1502939	DOM ELISEU	PA	5268.809	-47.89811163	-4.18657616
1502954	ELDORADO DO CARAJAS	PA	2956.691	-49.24543529	-6.06964532
1503002	FARO	PA	11771.669	-57.80590759	-1.15915039
1503044	FLORESTA DO ARAGUAIA	PA	3444.285	-49.57603054	-7.548322817
1503077	GARRAFAO DO NORTE	PA	1608.014	-47.07597679	-2.168305805
1503093	GOIANESIA DO PARA	PA	7023.948	-49.00571835	-4.027193117
1503101	GURUPA	PA	8570.286	-51.5539215	-1.149438285
1503200	IGARAPE-ACU	PA	785.983	-47.56598771	-1.145018485
1503309	IGARAPE-MIRI	PA	1996.79	-49.13074464	-2.062705659
1503408	INHANGAPI	PA	472.605	-47.92266995	-1.464677078
1503457	IPIXUNA DO PARA	PA	5215.555	-47.92154625	-2.805778162
1503507	IRITUIA	PA	1385.209	-47.39985943	-1.811535564
1503606	ITAITUBA	PA	62042.472	-56.4967153	-5.871135292
1503705	ITUPIRANGA	PA	7880.109	-49.86970606	-5.114824257
1503754	JACAREACANGA	PA	53304.563	-57.3027053	-7.445286923
1503804	JACUNDA	PA	2008.315	-49.18119783	-4.598532716
1503903	JURUTI	PA	8305.454	-56.2213899	-2.62288887
1504000	LIMOEIRO DO AJURU	PA	1490.186	-49.46913654	-1.864269102
1504059	MAE DO RIO	PA	469.341	-47.51278297	-1.991012524
1504109	MAGALHAES BARATA	PA	323.984	-47.63520971	-0.809851742
1504208	MARABA	PA	15128.058	-50.01696035	-5.629799735
1504307	MARACANA	PA	807.628	-47.49744145	-0.810134913
1504406	MARAPANIM	PA	804.625	-47.709813	-0.837412842
1504422	MARITUBA	PA	103.214	-48.31978976	-1.397450259
1504455	MEDICILANDIA	PA	8272.629	-53.19499824	-3.16021317
1504505	MELGACO	PA	6774.065	-51.10386391	-1.607631796
1504604	MOCAJUBA	PA	871.171	-49.46638172	-2.576689166
1504703	MOJU	PA	9094.139	-49.07404191	-2.683911486
1504752	MOJUI DOS CAMPOS	PA	4988.236	-54.57515311	-3.070440004
1504802	MONTE ALEGRE	PA	18152.559	-54.35304896	-1.074400167
1504901	MUANA	PA	3763.337	-49.30925025	-1.355675248
1504950	NOVA ESPERANCA DO PIRIA	PA	2808.195	-46.90004255	-2.392643684
1504976	NOVA IPIXUNA	PA	1564.184	-49.23077059	-4.98107037
1505007	NOVA TIMBOTEUA	PA	489.853	-47.39214769	-1.156442981
1505031	NOVO PROGRESSO	PA	38162.002	-55.61202636	-8.062276597
1505064	NOVO REPARTIMENTO	PA	15398.723	-50.27160968	-4.502843479
1505106	OBIDOS	PA	28011.041	-55.67486499	-0.169646068
1505205	OEIRAS DO PARA	PA	3852.291	-49.90233023	-2.278918912
1505304	ORIXIMINA	PA	107613.838	-57.14982549	0.254979591
1505403	OUREM	PA	561.71	-47.13919608	-1.495919384
1505437	OURILANDIA DO NORTE	PA	14410.567	-51.4309361	-7.520545379
1505486	PACAJA	PA	11832.323	-50.63168055	-3.684125743
1505494	PALESTINA DO PARA	PA	984.362	-48.37018418	-5.927267065
1505502	PARAGOMINAS	PA	19342.565	-47.60315146	-3.203450009
1505536	PARAUAPEBAS	PA	6885.794	-50.48977246	-6.151734286
1505551	PAU D'ARCO	PA	1671.419	-50.1236223	-7.736975192
1505601	PEIXE-BOI	PA	450.224	-47.27198228	-1.130711397
1505635	PICARRA	PA	3312.708	-49.01176915	-6.541034913
1505650	PLACAS	PA	7173.194	-54.50065903	-3.889824154
1505700	PONTA DE PEDRAS	PA	3363.749	-49.07728201	-1.117508432
1505809	PORTEL	PA	25384.96	-50.95562441	-2.565429098
1505908	PORTO DE MOZ	PA	17423.017	-52.54775052	-2.184592864
1506005	PRAINHA	PA	14786.953	-53.66017206	-2.120245271
1506104	PRIMAVERA	PA	258.6	-47.13147439	-0.952686536
1506112	QUATIPURU	PA	302.939	-47.0155307	-0.860089243
1506138	REDENCAO	PA	3823.809	-50.19812406	-8.069328965
1506161	RIO MARIA	PA	4114.627	-49.89514344	-7.340632794
1506187	RONDON DO PARA	PA	8246.394	-48.46003674	-4.516927472
1506195	RUROPOLIS	PA	7021.321	-55.21074008	-4.241042514
1506203	SALINOPOLIS	PA	226.12	-47.3517023	-0.68395459
1506302	SALVATERRA	PA	918.563	-48.62998389	-0.796623637
1506351	SANTA BARBARA DO PARA	PA	278.154	-48.25051696	-1.194335572
1506401	SANTA CRUZ DO ARARI	PA	1076.652	-49.31385904	-0.583350036
1506500	SANTA IZABEL DO PARA	PA	717.662	-48.12930742	-1.365206765
1506559	SANTA LUZIA DO PARA	PA	1346.502	-46.92691695	-1.656634413
1506583	SANTA MARIA DAS BARREIRAS	PA	10330.214	-50.31437024	-8.633787536
1506609	SANTA MARIA DO PARA	PA	457.724	-47.52164211	-1.374485278
1506708	SANTANA DO ARAGUAIA	PA	11591.441	-50.61128172	-9.364055728
1506807	SANTAREM	PA	17898.389	-55.23845547	-2.679336294
1506906	SANTAREM NOVO	PA	229.51	-47.33294661	-0.913343979
1507003	SANTO ANTONIO DO TAUA	PA	537.618	-48.18276546	-1.093255829
1507102	SAO CAETANO DE ODIVELAS	PA	464.166	-48.02583585	-0.866067164
1507151	SAO DOMINGOS DO ARAGUAIA	PA	1392.464	-48.73059443	-5.657595271
1507201	SAO DOMINGOS DO CAPIM	PA	1686.765	-47.7714875	-1.882565259
1507300	SAO FELIX DO XINGU	PA	84212.903	-52.25269763	-7.233364916
1507409	SAO FRANCISCO DO PARA	PA	479.441	-47.74684435	-1.206000277
1507458	SAO GERALDO DO ARAGUAIA	PA	3168.384	-48.748223	-6.189251146
1507466	SAO JOAO DA PONTA	PA	195.918	-47.96446616	-0.870468399
1507474	SAO JOAO DE PIRABAS	PA	668.434	-47.21787286	-0.783800564
1507508	SAO JOAO DO ARAGUAIA	PA	1279.889	-48.69679179	-5.447322885
1507607	SAO MIGUEL DO GUAMA	PA	1094.564	-47.61077252	-1.551532387
1507706	SAO SEBASTIAO DA BOA VISTA	PA	1632.251	-49.68028251	-1.434118275
1507755	SAPUCAIA	PA	1298.19	-49.56976978	-6.838887424
1507805	SENADOR JOSE PORFIRIO	PA	14419.916	-51.76375723	-4.32409362
1507904	SOURE	PA	2857.349	-48.69768095	-0.448291812
1507953	TAILANDIA	PA	4430.477	-48.73670062	-2.907818874
1507961	TERRA ALTA	PA	204.97	-47.84829434	-1.002593098
1507979	TERRA SANTA	PA	1895.883	-56.45842414	-1.951503493
1508001	TOME-ACU	PA	5145.361	-48.26762548	-2.636125874
1508035	TRACUATEUA	PA	868.025	-46.9389774	-1.040966523
1508050	TRAIRAO	PA	11991.085	-56.00346708	-5.130225126
1508084	TUCUMA	PA	2512.594	-51.39138573	-6.820196209
1508100	TUCURUI	PA	2084.289	-49.82113441	-3.856279249
1508126	ULIANOPOLIS	PA	5088.468	-47.49360911	-3.80983984
1508159	URUARA	PA	10791.406	-53.8073361	-3.583616144
1508209	VIGIA	PA	401.589	-48.1049293	-0.933415473
1508308	VISEU	PA	4972.897	-46.45375116	-1.525564291
1508357	VITORIA DO XINGU	PA	3089.537	-51.97397424	-3.135268237
1508407	XINGUARA	PA	3779.348	-49.63526941	-6.917778413
1600055	SERRA DO NAVIO	AP	7713.046	-52.2681388	1.651747648
1600105	AMAPA	AP	8454.847	-50.60237832	1.729894927
1600154	PEDRA BRANCA DO AMAPARI	AP	9622.29	-52.5195645	1.157614448
1600204	CALCOENE	AP	14117.297	-51.40664792	2.423843973
1600212	CUTIAS	AP	2179.114	-50.48707712	1.03557404
1600238	FERREIRA GOMES	AP	4973.855	-51.41735136	0.95710433
1600253	ITAUBAL	AP	1622.867	-50.64025107	0.538387979
1600279	LARANJAL DO JARI	AP	30782.998	-53.31054594	1.101363553
1600303	MACAPA	AP	6563.849	-50.69178036	0.562753202
1600402	MAZAGAO	AP	13294.778	-51.95119334	-0.066836624
1600501	OIAPOQUE	AP	23034.392	-51.89869075	3.11180784
1600535	PORTO GRANDE	AP	4428.013	-51.66998321	0.58562844
1600550	PRACUUBA	AP	4948.508	-51.27852952	1.625814909
1600600	SANTANA	AP	1541.224	-51.37836544	0.129806464
1600709	TARTARUGALZINHO	AP	6684.705	-50.99261556	1.297577102
1600808	VITORIA DO JARI	AP	2508.979	-52.06117847	-0.996442322
1700251	ABREULANDIA	TO	1906.295	-49.31125315	-9.478807702
1700301	AGUIARNOPOLIS	TO	236.792	-47.51337205	-6.488578775
1700350	ALIANCA DO TOCANTINS	TO	1580.999	-48.90829469	-11.33118268
1700400	ALMAS	TO	4007.152	-47.21101898	-11.42950523
1700707	ALVORADA	TO	1207.201	-49.11179393	-12.40749576
1701002	ANANAS	TO	1581.058	-48.18663835	-6.232678534
1701051	ANGICO	TO	447.549	-47.91316489	-6.435793949
1701101	APARECIDA DO RIO NEGRO	TO	1159.034	-48.00004031	-9.986598002
1701309	ARAGOMINAS	TO	1168.213	-48.63233015	-6.945523747
1701903	ARAGUACEMA	TO	2774.505	-49.50553999	-8.939098763
1702000	ARAGUACU	TO	5155.223	-49.69635389	-12.83985847
1702109	ARAGUAINA	TO	4004.646	-48.58780158	-7.331298749
1702158	ARAGUANA	TO	834.834	-48.52454083	-6.790970407
1702208	ARAGUATINS	TO	2633.278	-48.1048218	-5.665840503
1702307	ARAPOEMA	TO	1558.138	-48.99983006	-7.723417227
1702406	ARRAIAS	TO	5803.085	-47.04777446	-12.81719263
1702554	AUGUSTINOPOLIS	TO	388.81	-47.92815452	-5.497817643
1702703	AURORA DO TOCANTINS	TO	696.194	-46.43288117	-12.64663622
1702901	AXIXA DO TOCANTINS	TO	153.539	-47.76610862	-5.649398421
1703008	BABACULANDIA	TO	1790.297	-47.85683716	-7.174540673
1703057	BANDEIRANTES DO TOCANTINS	TO	1540.541	-48.67554443	-7.903014329
1703073	BARRA DO OURO	TO	1105.84	-47.5786079	-7.717768856
1703107	BARROLANDIA	TO	697.759	-48.79119008	-9.865780969
1703206	BERNARDO SAYAO	TO	924.045	-48.96911675	-7.983475216
1703305	BOM JESUS DO TOCANTINS	TO	1326.947	-47.87922006	-9.012406581
1703602	BRASILANDIA DO TOCANTINS	TO	645.908	-48.44279293	-8.289902281
1703701	BREJINHO DE NAZARE	TO	1722.59	-48.62412678	-11.02927078
1703800	BURITI DO TOCANTINS	TO	252.73	-48.13631398	-5.337668759
1703826	CACHOEIRINHA	TO	351.535	-47.841336	-6.090008623
1703842	CAMPOS LINDOS	TO	3234.445	-46.80458427	-8.203799018
1703867	CARIRI DO TOCANTINS	TO	1126.291	-49.20277778	-11.9330276
1703883	CARMOLANDIA	TO	339.366	-48.37454303	-7.045120555
1703891	CARRASCO BONITO	TO	190.352	-48.00992545	-5.3371728
1703909	CASEARA	TO	1680.014	-49.84857197	-9.401668358
1704105	CENTENARIO	TO	1953.134	-47.44478222	-9.073795005
1704600	CHAPADA DE AREIA	TO	658.564	-49.19567144	-10.1657128
1705102	CHAPADA DA NATIVIDADE	TO	1640.833	-47.8464416	-11.54106995
1705508	COLINAS DO TOCANTINS	TO	842.488	-48.53011531	-8.076435622
1705557	COMBINADO	TO	208.791	-46.50374865	-12.84628301
1705607	CONCEICAO DO TOCANTINS	TO	2530.647	-47.30367349	-12.17103423
1706001	COUTO MAGALHAES	TO	1584.196	-49.16244725	-8.436744562
1706100	CRISTALANDIA	TO	1850.75	-49.31240845	-10.63638178
1706258	CRIXAS DO TOCANTINS	TO	983.766	-49.0727469	-11.17186179
1706506	DARCINOPOLIS	TO	1641.77	-47.76787751	-6.763412861
1707009	DIANOPOLIS	TO	3318.094	-46.79575063	-11.69480343
1707108	DIVINOPOLIS DO TOCANTINS	TO	2358.282	-49.354754	-9.695133728
1707207	DOIS IRMAOS DO TOCANTINS	TO	3747.645	-49.06693251	-9.270936777
1707306	DUERE	TO	3420.657	-49.39127656	-11.42722827
1707405	ESPERANTINA	TO	506.175	-48.5403192	-5.326292135
1707553	FATIMA	TO	380.373	-48.87232658	-10.8097574
1707652	FIGUEIROPOLIS	TO	1935.709	-49.28279236	-12.26347056
1707702	FILADELFIA	TO	1991.258	-47.79374794	-7.496680436
1708205	FORMOSO DO ARAGUAIA	TO	13431.861	-50.09809065	-11.95827272
1708254	TABOCAO	TO	624.463	-48.54602483	-9.071431543
1708304	GOIANORTE	TO	1797.229	-49.01119427	-8.873203968
1709005	GOIATINS	TO	6414.846	-47.48153446	-8.094161091
1709302	GUARAI	TO	2106.753	-48.42505082	-8.730118691
1709500	GURUPI	TO	1844.164	-48.88735747	-11.65159703
1709807	IPUEIRAS	TO	821.152	-48.40352243	-11.13508239
1710508	ITACAJA	TO	3047.204	-47.66931771	-8.571533098
1710706	ITAGUATINS	TO	730.163	-47.59507332	-5.802727673
1710904	ITAPIRATINS	TO	1246.349	-48.03331771	-8.316305488
1711100	ITAPORA DO TOCANTINS	TO	969.794	-48.75260812	-8.451208482
1711506	JAU DO TOCANTINS	TO	2167.201	-48.64548505	-12.74773693
1711803	JUARINA	TO	483.452	-49.11033284	-8.140807661
1711902	LAGOA DA CONFUSAO	TO	10563.181	-50.16072229	-11.03499883
1711951	LAGOA DO TOCANTINS	TO	917.632	-47.48114441	-10.34186258
1712009	LAJEADO	TO	318.292	-48.29095226	-9.850561801
1712157	LAVANDEIRA	TO	468.006	-46.41045504	-12.81262735
1712405	LIZARDA	TO	5716.641	-46.93895289	-9.524825727
1712454	LUZINOPOLIS	TO	281.543	-47.83074217	-6.206019343
1712504	MARIANOPOLIS DO TOCANTINS	TO	2089.575	-49.7000395	-9.787577535
1712702	MATEIROS	TO	9589.273	-46.50260695	-10.58300801
